Time_ms,Encoder_Angle,Commanded_Angle,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.000000,0.021168,0.000000,0.245761,5.618018,9.722056,-1.603873,-1.702587,0.188413
10.000000,0.036319,1.526452,0.101461,8.921783,10.058014,-1.896241,0.370787,15.398370
20.000000,0.156077,3.050736,0.090421,9.595418,9.951713,3.167172,0.550638,40.858918
30.000000,0.567044,4.570684,0.522652,8.392052,9.741705,3.890130,1.550876,68.861292
40.000000,1.208392,6.084136,0.142610,8.932076,9.647228,-2.739619,-4.840123,92.449875
50.000000,2.132290,7.588943,-0.213574,6.531535,9.678036,6.840152,3.198050,118.237247
60.000000,3.347258,9.082966,0.047468,8.883578,10.009335,-3.547773,7.906236,136.871485
70.000000,4.697644,10.564081,-0.190695,6.042993,9.821629,-2.145648,6.791353,162.381187
80.000000,6.367098,12.030184,-0.008826,5.887011,9.565723,0.675918,-7.706063,181.065129
90.000000,8.243625,13.479192,0.037642,4.074800,9.992338,-9.151079,8.197685,196.129636
100.000000,10.096988,14.909044,-0.172876,1.389013,10.105324,-2.720462,3.714780,209.453883
110.000000,12.289524,16.317711,-0.117444,2.610130,9.670449,5.089066,-2.880692,211.815613
120.000000,14.379764,17.703189,-0.269705,-2.314742,9.898770,-2.728465,3.582565,219.140967
130.000000,16.646759,19.063509,-0.175623,-2.844044,9.694193,-3.246855,3.818311,213.864968
140.000000,18.650346,20.396740,0.070204,-2.206290,10.096079,-11.688499,-3.401850,204.725499
150.000000,20.792604,21.700985,0.337955,-4.383514,9.871200,0.425956,-3.946350,199.525412
160.000000,22.645312,22.974392,-0.011889,-6.621098,9.879586,7.016765,0.430272,187.005314
170.000000,24.501231,24.215152,-0.112160,-6.418722,9.862430,-5.930635,4.923430,168.012121
180.000000,26.300590,25.421500,-0.279491,-5.679163,9.771306,-0.595348,2.082981,149.637110
190.000000,27.753060,26.591723,-0.078993,-5.887151,10.039656,-6.077134,-1.483111,134.284279
200.000000,29.022162,27.724158,0.155682,-5.315600,9.631039,-5.687730,7.411654,115.081726
210.000000,30.205807,28.817195,-0.108973,-5.707638,9.707336,-0.266956,5.592360,101.317324
220.000000,31.250314,29.869281,0.085511,-3.891317,9.881813,-1.560076,3.896054,83.425275
230.000000,32.104127,30.878922,0.088837,-3.487927,9.983333,6.339372,4.077231,71.902202
240.000000,32.743018,31.844682,-0.055727,-4.178867,10.067097,-1.540028,-4.055662,63.651777
250.000000,33.441208,32.765188,0.096485,-3.425010,9.880429,2.765558,-0.018925,51.068884
260.000000,34.011300,33.639134,0.049593,-2.517315,9.702057,0.338893,-8.207245,40.008827
270.000000,34.435500,34.465277,0.101051,-2.263316,9.688285,2.383693,11.241658,33.020249
280.000000,34.682662,35.242442,0.308835,-1.581296,9.793734,1.947983,0.434773,27.330020
290.000000,35.029690,35.969526,0.182389,0.391191,10.397686,-14.945759,-0.000561,22.126662
300.000000,35.232939,36.645496,0.153149,0.372396,10.042706,-4.666943,-3.145328,24.864807
310.000000,35.412698,37.269390,-0.127412,0.473918,9.535178,-5.010679,0.957224,24.617274
320.000000,35.720788,37.840322,0.029695,0.858370,10.146942,-5.358568,-1.156279,27.121268
330.000000,35.939969,38.357481,-0.065912,0.424166,9.890607,-2.556196,-3.186189,27.930057
340.000000,36.197114,38.820132,0.070351,0.371513,9.601953,-0.582599,1.367112,30.053450
350.000000,36.421157,39.227618,-0.103693,0.602869,10.117753,-1.014845,-3.590397,30.361230
360.000000,36.715875,39.579359,0.164473,0.198772,9.694832,-4.318086,3.240851,32.548643
370.000000,37.274307,39.874856,-0.096924,-1.011825,9.839656,-10.765021,-6.455107,32.616706
380.000000,37.582440,40.113688,-0.304118,-0.182759,9.734390,-8.687648,4.651755,29.983661
390.000000,37.803644,40.295516,0.194561,-2.055268,9.857221,-4.620409,-8.526479,28.535798
400.000000,38.053145,40.420083,-0.262884,-1.387815,10.197594,-5.981343,-1.721032,22.057532
410.000000,38.196723,40.487210,0.219433,-1.238815,9.719179,5.728720,-0.922538,18.411029
420.000000,38.490485,40.496802,-0.329207,-1.034008,9.728325,-3.906064,1.857691,15.578842
430.000000,38.664442,40.448847,0.155710,-2.417941,9.742324,3.921719,6.348335,11.927348
440.000000,38.736414,40.343411,0.013544,-2.778371,10.218653,2.080922,-3.863342,4.332641
450.000000,38.825755,40.180645,0.003553,-3.082210,10.037514,-1.531453,1.022277,-2.967326
460.000000,38.749001,39.960781,-0.347943,-3.711481,9.456834,0.879353,8.473393,-12.101510
470.000000,38.630442,39.684130,-0.505317,-2.866968,10.120335,-4.234802,7.026611,-21.421510
480.000000,38.469058,39.351085,0.067747,-3.277487,10.129686,-5.169637,-3.133920,-30.723009
490.000000,38.112706,38.962121,-0.066459,-3.750789,9.743809,-9.976731,4.866591,-40.176058
500.000000,37.667982,38.517789,-0.131923,-3.908762,9.708170,-0.934216,3.166638,-50.110758
510.000000,37.232086,38.018721,-0.126394,-4.179332,9.910825,7.672391,7.602259,-61.684226
520.000000,36.577789,37.465627,-0.124694,-1.924630,9.519020,3.933742,-6.355659,-72.691559
530.000000,35.830360,36.859292,0.190428,-1.582565,9.824647,0.077205,0.080566,-77.798845
540.000000,35.114219,36.200578,-0.372344,-2.738061,9.876277,-0.897480,0.880788,-83.366331
550.000000,34.319595,35.490421,0.007829,-1.236551,9.529333,-6.880372,7.497387,-91.042349
560.000000,33.349445,34.729830,0.279691,-1.879023,9.739005,-8.257747,-5.975909,-95.682090
570.000000,32.427409,33.919886,-0.013365,-1.353185,9.779855,2.192305,-13.164079,-100.788122
580.000000,31.469440,33.061740,-0.223174,-0.408394,9.839938,-2.622060,-4.647205,-103.231002
590.000000,30.372079,32.156611,-0.005806,-1.968254,9.919585,6.611684,-10.476309,-105.817595
600.000000,29.289561,31.205786,0.284404,-0.294864,10.133732,-4.315349,-1.796846,-110.559975
610.000000,28.261332,30.210616,0.240077,-0.719307,9.905638,-2.968881,-6.632894,-110.560640
620.000000,27.050209,29.172516,0.203046,-0.630114,9.988391,0.185855,-9.991170,-113.294667
630.000000,25.978743,28.092959,-0.098347,-0.115498,9.588564,-0.050490,-7.838646,-114.476219
640.000000,24.728554,26.973481,0.056738,1.368106,9.851191,-5.525689,-1.111389,-115.414518
650.000000,23.667348,25.815672,-0.213060,0.855382,9.718635,-3.227152,-6.267931,-110.763206
660.000000,22.596763,24.621177,0.159374,-0.309457,9.809273,1.374491,2.288330,-108.812633
670.000000,21.566590,23.391694,-0.139354,-0.236507,9.783630,7.858542,-7.501605,-109.793307
680.000000,20.315058,22.128971,-0.020335,-0.701609,9.834111,1.258826,-1.571651,-111.093380
690.000000,19.316005,20.834801,0.222976,-0.696085,9.930017,4.025168,6.223410,-112.968688
700.000000,18.077641,19.511024,0.001236,-0.821285,9.456955,-0.290328,2.883201,-114.258454
710.000000,16.952074,18.159520,0.072986,-1.856394,9.627550,-2.887238,0.377027,-116.533713
720.000000,15.855787,16.782211,0.192770,-2.003895,9.841407,-3.889666,-1.429939,-123.314861
730.000000,14.641295,15.381053,0.090191,-0.427607,9.694508,0.733330,0.322579,-129.370823
740.000000,13.265810,13.958038,0.279962,-0.590560,9.960131,-1.375676,2.145554,-131.735625
750.000000,12.054090,12.515188,0.231696,-2.458892,9.894568,12.517106,9.402621,-131.265970
760.000000,10.515078,11.054553,-0.368046,-0.598284,9.608596,0.631584,3.180025,-140.190597
770.000000,9.205205,9.578209,-0.169956,-1.726389,9.887725,-11.953927,5.920706,-141.767751
780.000000,7.873295,8.088254,0.373099,0.461060,9.606663,-5.488690,9.331344,-146.102887
790.000000,6.452650,6.586805,0.006541,-0.950422,9.741962,0.431088,-15.950584,-145.930917
800.000000,4.868096,5.075996,0.035590,-0.655842,9.820876,-5.948663,6.509170,-148.514371
810.000000,3.413870,3.557973,0.217649,-0.195155,9.938296,3.376406,5.372380,-150.764712
820.000000,1.931076,2.034895,0.183947,1.335163,9.877276,-7.444157,5.205720,-151.056025
830.000000,0.462645,0.508925,0.087617,-0.381110,9.601185,4.418803,-13.075387,-147.261713
840.000000,-1.075426,-1.017769,-0.203962,-0.308576,9.741469,5.400838,-3.205885,-147.822572
850.000000,-2.596167,-2.543016,0.013963,-0.135193,9.777340,-9.346122,0.960165,-149.379941
860.000000,-3.968927,-4.064649,0.302239,-0.449954,9.787464,-0.589249,-1.218484,-148.302824
870.000000,-5.518688,-5.580507,0.282330,1.370422,9.604971,1.172928,4.774114,-149.449004
880.000000,-6.937930,-7.088434,-0.445129,-0.271195,9.612812,-10.102088,-0.979104,-145.998284
890.000000,-8.389790,-8.586288,0.273925,0.529449,9.732137,0.298730,8.677728,-147.153371
900.000000,-10.008041,-10.071940,-0.137772,1.188972,9.713393,-3.469776,-4.669996,-144.719814
910.000000,-11.426813,-11.543280,-0.266051,0.804683,9.423430,5.532385,9.173534,-141.077017
920.000000,-12.784068,-12.998216,0.055406,0.230427,9.736476,5.747390,8.724445,-139.630670
930.000000,-14.126824,-14.434681,0.060665,1.420702,9.379154,8.618248,0.699415,-138.516596
940.000000,-15.619436,-15.850634,-0.017265,2.195994,9.841352,-1.743232,6.216390,-133.655601
950.000000,-16.822979,-17.244061,0.005869,1.552710,9.708593,-6.650314,-4.062736,-128.045799
960.000000,-18.063519,-18.612984,-0.118012,0.481072,9.865999,3.985147,-2.808889,-123.443148
970.000000,-19.488124,-19.955457,-0.469288,1.633946,9.715197,-8.596989,-7.495932,-121.896609
980.000000,-20.734300,-21.269573,-0.085508,2.518985,9.767319,8.700400,-0.016641,-117.389239
990.000000,-21.767766,-22.553462,-0.277403,1.070917,9.935355,-2.366135,2.792922,-109.786202
1000.000000,-22.816709,-23.805303,-0.102176,0.916818,9.779687,-3.796233,-6.978566,-107.312726
1010.000000,-24.071904,-25.023314,-0.019743,2.237275,9.739240,-1.175079,-8.781314,-105.636685
1020.000000,-25.010459,-26.205766,-0.372191,0.129404,9.994476,14.919990,2.288305,-99.114359
1030.000000,-26.042861,-27.350979,-0.030466,0.662861,10.386007,-2.217288,-1.297332,-98.160437
1040.000000,-27.115325,-28.457324,-0.048760,1.001980,9.506557,1.278293,-4.676024,-96.121613
1050.000000,-27.998298,-29.523229,-0.437891,1.037384,10.029024,10.951600,-1.116375,-92.764149
1060.000000,-28.939362,-30.547181,0.425070,0.594900,9.869802,-5.344962,1.963469,-90.401033
1070.000000,-29.751518,-31.527723,0.098972,-0.019927,9.977779,-0.644009,-1.703558,-89.123169
1080.000000,-30.701685,-32.463463,0.208830,0.875416,9.445317,-7.243670,7.914739,-87.903313
1090.000000,-31.508513,-33.353070,0.207228,1.286619,9.651911,-8.519704,-3.185513,-85.353521
1100.000000,-32.450740,-34.195281,0.379754,1.836946,9.797830,1.371776,5.993324,-81.731713
1110.000000,-33.285220,-34.988898,-0.174032,1.239472,9.544442,-4.359164,-2.332396,-75.924978
1120.000000,-34.019541,-35.732795,0.434551,2.779015,10.015892,-7.670155,4.101912,-72.691164
1130.000000,-34.738841,-36.425913,0.258904,1.348421,9.938171,12.305623,8.834647,-65.471586
1140.000000,-35.380764,-37.067267,0.181492,1.341892,10.225382,-2.529276,17.220195,-61.277572
1150.000000,-36.107764,-37.655948,-0.012558,0.894959,9.484412,10.560487,-1.203135,-57.197662
1160.000000,-36.641344,-38.191117,-0.212872,3.047627,9.850773,-3.609081,-1.326625,-54.074974
1170.000000,-37.031342,-38.672014,-0.067393,1.491982,9.976183,0.661971,5.753139,-45.715720
1180.000000,-37.580185,-39.097956,-0.024785,1.525864,9.926824,-0.332962,8.775595,-41.937146
1190.000000,-38.002690,-39.468338,0.041523,3.516343,9.764886,0.945759,4.168854,-37.390501
1200.000000,-38.449204,-39.782634,0.143893,2.037217,9.227265,0.613392,-3.734659,-27.979308
1210.000000,-38.677354,-40.040396,-0.068134,3.537176,9.926219,2.520005,-4.905352,-21.772695
1220.000000,-38.889058,-40.241258,0.362990,3.862619,9.787736,-1.578335,5.214161,-10.534205
